"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1388040822608781316","https://twitter.com/LisaDeBruine/status/1388040822608781316","@SueReviews @SuperTroopEdin I went for my first run in years on Wednesday (second scheduled for lunchtime today), and this will be good motivation to keep it up!","2021-04-30 08:01 +0000","712.0","2.0","0.0028089887640449437","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387876818154364931","https://twitter.com/LisaDeBruine/status/1387876818154364931","@chrisdc77 @EJWagenmakers @BrianNosek https://t.co/EW1nWy4Nz1","2021-04-29 21:09 +0000","1549.0","29.0","0.01872175597159458","0.0","0.0","2.0","0.0","0.0","0.0","9.0","0.0","0","0","0","0","0","535","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387863207914741766","https://twitter.com/LisaDeBruine/status/1387863207914741766","@Sam_D_Parsons It’s why @dalejbarr and my mixed models simulation paper uses a face research example instead of a language example. The face people needed a domain-relevant example and language people already had a ton.","2021-04-29 20:15 +0000","416.0","9.0","0.021634615384615384","0.0","1.0","3.0","3.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387862782666739722","https://twitter.com/LisaDeBruine/status/1387862782666739722","@bioinformagic I tried to build a seed argument into the simulation functions and CRAN made me take it out! Even though I returned the global environment to its previous state. But you can just set seed right before running the simulation code.","2021-04-29 20:14 +0000","41.0","1.0","0.024390243902439025","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387860792628977667","https://twitter.com/LisaDeBruine/status/1387860792628977667","@sharoz Agree! Students sometimes act like I’m a petty tyrant when I get picky about variable case, but it’s so useful to make a rule for yourself and always follow it so you’re not constantly wondering if you named that variable ControlGroup or controlgroup or control_group or ctrl.grp","2021-04-29 20:06 +0000","325.0","11.0","0.033846153846153845","0.0","1.0","3.0","0.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387859989717528585","https://twitter.com/LisaDeBruine/status/1387859989717528585","@AceThatTest @wtoivo1 Thanks @wtoivo1 and @pimpmymemory; this was fun and educational!","2021-04-29 20:03 +0000","400.0","3.0","0.0075","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387859417480237059","https://twitter.com/LisaDeBruine/status/1387859417480237059","@bioinformagic @emilynordmann @dalejbarr Assessr is actually really flexible in terms of the logic for checking each code chunk. As long as they name their outputs right (we give them stub files with varname &lt;- NULL to make it clear) you can run sophisticated checks and there is a manual check too. #LrnSciChat","2021-04-29 20:00 +0000","533.0","10.0","0.01876172607879925","1.0","2.0","0.0","3.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387858301765967879","https://twitter.com/LisaDeBruine/status/1387858301765967879","@bioinformagic I’ve written so much code to make custom simulated data for teaching that I ended up turning it into an R package. #LrnSciChat

https://t.co/fCsPDSi0Ye","2021-04-29 19:56 +0000","2003.0","13.0","0.006490264603095357","1.0","1.0","3.0","0.0","6.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387857070762909704","https://twitter.com/LisaDeBruine/status/1387857070762909704","@bioinformagic I can definitely tell you about some inefficient ones! I can recommend never letting a class of 60 all choose their own data sets for a final report. At least *really* constraint the nature of the data. 

#LrnSciChat","2021-04-29 19:51 +0000","53.0","1.0","0.018867924528301886","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387856649709305858","https://twitter.com/LisaDeBruine/status/1387856649709305858","Q: How do you help students who are having a hard time with the detail-oriented parts of coding where spaces, commas and capitalisation really matter? #LrnSciChat","2021-04-29 19:49 +0000","8548.0","324.0","0.037903603182030884","2.0","12.0","31.0","20.0","1.0","6.0","252.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
